"Source:","/Users/chrisarcadia/Dropbox (Brown)/Ventilator/repositories/pufferfish-electronics/designs/Pufferfish-Controller-1/Pufferfish-Controller-1.sch"
"Date:","Thursday, July 02, 2020 at 11:10:22 AM"
"Tool:","Eeschema (5.1.5-0-10_14)"
"Component Count:","559"
"Ref","Value","Part","Footprint","Description","Vendor","Manufacturer","Datasheet","Tolerance","Resistance","Capacitance","Pressure"
"BUZZ1","BUZZER-12MM","Pufferfish:BUZZER-12MM","Pufferfish:BUZZER-12MM","Generic 12mm Buzzer","","","","","","",""
"C1","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C2","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C3","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C4","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C5","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C6","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C7","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C8","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C9","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C10","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C11","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
