Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1uF,CAP_SMD_0805,60.14442,-20.11172,0,top
C2,0.1uF,CAP_SMD_0805,54.97068,-20.11172,0,top
C3,0.1uF,CAP_SMD_0805,49.5325,-20.12,0,top
C4,0.1uF,CAP_SMD_0805,44.06,-20.37,0,top
C5,0.1uF,CAP_SMD_0805,38.83,-20.39,0,top
C6,100nF,CAP_SMD_0805,44.29784,-7.7898,270,top
C7,10uF,CAP_SMD_0805,41.79,0.05,90,top
C8,100pF,CAP_SMD_0805,68.5225,-14.5,180,top
C9,10uF,CAP_SMD_0805,68.42,-3.42,270,top
C10,0.1uF,CAP_SMD_0805,33.78548,-20.5015,0,top
D3,SMF3.3,D_TVS_SMF3.3,60.35074,-22.62886,0,top
D4,SMF3.3,D_TVS_SMF3.3,55.01098,-22.71014,0,top
D5,SMF3.3,D_TVS_SMF3.3,49.47,-22.82,0,top
D6,SMF3.3,D_TVS_SMF3.3,44,-23,0,top
D7,SMF3.3,D_TVS_SMF3.3,39,-23,0,top
D8,1N4148WT,D_SOD-523,51.35,0.11,270,top
D9,1N4148WT,D_SOD-523,64.02,-0.86,180,top
D11,SMF3.3,D_TVS_SMF3.3,32.14,-23.02,0,top
Q1,2N7002E,SOT-23,32.512,-33.782,180,top
Q2,2N7002E,SOT-23,39.116,-33.782,180,top
Q3,2N7002E,SOT-23,45.72,-33.782,180,top
Q4,2N7002E,SOT-23,52.578,-33.782,180,top
Q7,FDN337N,SuperSOT-3,37.592,-53.34,0,top
Q8,2N7002E,SOT-23,3.62966,-27.37104,180,top
Q9,2N7002E,SOT-23,3.69138,-22.02176,180,top
Q10,2N7002E,SOT-23,3.48996,-17.96542,180,top
Q12,Q_PMOS_GSD,SuperSOT-3,25.85974,-9.9314,90,top
Q13,Q_PMOS_GSD,SuperSOT-3,15.56258,-9.83488,90,top
Q14,Q_PMOS_GSD,SuperSOT-3,20.59432,-9.90854,90,top
Q15,Q_PMOS_GSD,SuperSOT-3,10.49274,-9.79424,90,top
Q16,Q_PMOS_GSD,SuperSOT-3,5.42036,-9.62406,90,top
Q17,Q_PMOS_GSD,SuperSOT-3,68.75,-28.75,270,top
Q18,2N7002E,SOT-23,69.5,-33,90,top
