Ref,Val,Package,PosX,PosY,Rot,Side
"C11","CAP_100nF_50V_X7R_0402","CAP_SMD_0402",136.116200,-101.498400,180.000000,bottom
"C55","CAP_1uF_35V_X7R_0603","CAP_SMD_0603",199.186800,-95.707200,90.000000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",103.733600,-133.223000,0.000000,bottom
"FID5","Fiducial","Fiducial_1mm_Mask2mm",103.759000,-72.186800,0.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",200.787000,-71.247000,0.000000,bottom
"Q5","2N7002E","SOT-23",121.894600,-97.764600,180.000000,bottom
"Q8","TP0610T","SOT-23",190.728600,-92.557600,90.000000,bottom
"Q9","2N7002E","SOT-23",194.183000,-88.976200,180.000000,bottom
"Q10","2N7002E","SOT-23",107.924600,-105.689400,180.000000,bottom
"Q11","2N7002E","SOT-23",197.688200,-88.950800,90.000000,bottom
"Q12","2N7002E","SOT-23",194.665600,-112.166400,180.000000,bottom
"Q13","2N7002E","SOT-23",182.788600,-94.910400,90.000000,bottom
"Q14","TP0610T","SOT-23",133.769100,-77.800200,90.000000,bottom
"Q15","TP0610T","SOT-23",133.705600,-125.526800,270.000000,bottom
"Q16","TP0610T","SOT-23",141.617700,-77.863700,90.000000,bottom
"Q17","TP0610T","SOT-23",141.554200,-125.399800,270.000000,bottom
"Q18","TP0610T","SOT-23",149.783800,-77.965300,90.000000,bottom
"Q19","TP0610T","SOT-23",148.971000,-125.374400,270.000000,bottom
"R14","RES_0R_0402_SMD","RES_SMD_0402",131.800600,-96.291400,270.000000,bottom
"R15","RES_0R_0402_SMD","RES_SMD_0402",130.606800,-96.266000,270.000000,bottom
"R16","RES_0R_0402_SMD","RES_SMD_0402",129.514600,-96.240600,270.000000,bottom
"R17","RES_0R_0402_SMD","RES_SMD_0402",130.937000,-107.086400,90.000000,bottom
"R18","RES_0R_0402_SMD","RES_SMD_0402",129.844800,-107.086400,90.000000,bottom
"R19","RES_0R_0402_SMD","RES_SMD_0402",127.939800,-105.791000,0.000000,bottom
"R20","RES_10K_0603_SMD","RES_SMD_0603",126.873000,-96.418400,90.000000,bottom
"R21","RES_10K_0603_SMD","RES_SMD_0603",132.588000,-105.765600,270.000000,bottom
"R24","RES_330R_0603_SMD","RES_SMD_0603",108.051600,-103.022400,180.000000,bottom
"R25","RES_330R_0603_SMD","RES_SMD_0603",196.875400,-86.258400,0.000000,bottom
"R26","RES_10K_0603_SMD","RES_SMD_0603",124.587000,-97.307400,270.000000,bottom
"R34","RES_10K_0603_SMD","RES_SMD_0603",194.310000,-108.737400,270.000000,bottom
"R38","RES_10K_0603_SMD","RES_SMD_0603",185.648600,-92.735400,270.000000,bottom
"R41","RES_10K_0603_SMD","RES_SMD_0603",190.271400,-89.839800,0.000000,bottom
"R42","RES_10K_0603_SMD","RES_SMD_0603",199.212200,-92.278200,270.000000,bottom
"R43","RES_47K_0603_SMD","RES_SMD_0603",195.300600,-95.986600,0.000000,bottom
"R44","RES_10K_0603_SMD","RES_SMD_0603",197.637400,-97.282000,270.000000,bottom
"R47","RES_10K_0603_SMD","RES_SMD_0603",136.512300,-77.901800,270.000000,bottom
"R48","RES_10K_0603_SMD","RES_SMD_0603",144.297400,-77.978000,270.000000,bottom
"R49","RES_10K_0603_SMD","RES_SMD_0603",152.857200,-79.184500,270.000000,bottom
"R50","RES_10K_0603_SMD","RES_SMD_0603",130.784600,-125.653800,90.000000,bottom
"R51","RES_10K_0603_SMD","RES_SMD_0603",139.014200,-126.187200,90.000000,bottom
"R52","RES_10K_0603_SMD","RES_SMD_0603",146.456400,-127.177800,90.000000,bottom
"R53","RES_330R_0603_SMD","RES_SMD_0603",192.125600,-112.725200,270.000000,bottom
"R54","RES_330R_0603_SMD","RES_SMD_0603",182.829200,-91.694000,270.000000,bottom
"R55","RES_330R_0603_SMD","RES_SMD_0603",129.260600,-82.092800,90.000000,bottom
"R56","RES_330R_0603_SMD","RES_SMD_0603",137.922000,-122.326400,270.000000,bottom
"R57","RES_330R_0603_SMD","RES_SMD_0603",145.796000,-122.682000,270.000000,bottom
"R58","RES_330R_0603_SMD","RES_SMD_0603",137.121900,-81.686400,90.000000,bottom
"R59","RES_330R_0603_SMD","RES_SMD_0603",153.517600,-122.783600,270.000000,bottom
"R60","RES_330R_0603_SMD","RES_SMD_0603",144.856200,-81.661000,90.000000,bottom
